Id,Role,Process,BusinessActivity,BusinessPermission,ISDataType,ISActivity,System,ServiceCall,ISPermission
38,Sammlung und Wissenschaft:Restaurator,fremdes Werk wird angeliefert,Kurator bei Anlieferung unterstützen,READ/WRITE Protokoll (Comp),Protokoll (Comp),sich im System für die Protokoll-Hinzufügung abmelden 2,Kunsthalle,System.ISystemZugangProvidedRole.abmelden(),READ Token: Token
38,Sammlung und Wissenschaft:Restaurator,fremdes Werk wird angeliefert,Kurator bei Anlieferung unterstützen,READ/WRITE Protokoll (Comp),Protokoll (Comp),sich im System für die Protokoll-Hinzufügung anmelden 2,Kunsthalle,System.ISystemZugangProvidedRole.anmelden(),1. READ cred: Credentials<br>2. WRITE Token<br>
39,Zentrale Dienste:Sicherheit,fremdes Werk wird abgeholt,Raum entsichern,,,,,,
40,Sammlung und Wissenschaft:Kurator,fremdes Werk wird abgeholt,Abholung beaufsichtigen,,,,,,
41,Sammlung und Wissenschaft:Restaurator,fremdes Werk wird abgeholt,Beausichtigung des Einpackens und protokollierung,WRITE Protokoll (Comp),Protokoll (Comp),Protokoll hinzufügen,Kunsthalle,System.ISystemLeihverkehrProvidedRole.fügeProtokollHinzu(),1. READ token: Token<br>2. READ protokoll: Protokoll<br>
41,Sammlung und Wissenschaft:Restaurator,fremdes Werk wird abgeholt,Beausichtigung des Einpackens und protokollierung,WRITE Protokoll (Comp),Protokoll (Comp),sich im System für Protokoll-Hinzufügung abmelden,Kunsthalle,System.ISystemZugangProvidedRole.abmelden(),READ Token: Token
41,Sammlung und Wissenschaft:Restaurator,fremdes Werk wird abgeholt,Beausichtigung des Einpackens und protokollierung,WRITE Protokoll (Comp),Protokoll (Comp),sich im System für Protokoll-Hinzufügung anmelden,Kunsthalle,System.ISystemZugangProvidedRole.anmelden(),1. READ cred: Credentials<br>2. WRITE Token<br>
42,Sammlung und Wissenschaft:Kurator,Leihverkehr für fremde Werke,fremde Werke ausleihen,READ/WRITE Ausstellungskonzept (Comp),Ausstellungskonzept (Comp),,,,
43,Sammlung und Wissenschaft:Kurator,Leihverkehr für fremde Werke,fremdes Werk wird angeliefert,,,,,,
44,Sammlung und Wissenschaft:Kurator,Leihverkehr für fremde Werke,fremdes Werk wird abgeholt,,,,,,
45,Sammlung und Wissenschaft:Kurator,Leihverkehr für eigene Werke,Leihanfrage abwickeln,,,,,,
46,Sammlung und Wissenschaft:Kurator,Leihverkehr für eigene Werke,eigenes Werk wird abgeholt,,,,,,
47,Sammlung und Wissenschaft:Kurator,Leihverkehr für eigene Werke,eigenes Werk wird zurückgebracht,,,,,,
48,Sammlung und Wissenschaft:Kurator,Leihanfrage abwickeln,mündlich Leihanfrage entgegennehmen,READ Ausstellungsobjekte (Coll),Ausstellungsobjekte (Coll),Ausstellungsobjekt holen,Kunsthalle,System.ISystemAllgemeineZugriffeProvidedRole.gibAusstellungsobjekt(),1. READ token: Token<br>2. READ name: STRING<br>3. WRITE öffentlich sichtbares Ausstellungsobjekt<br>
48,Sammlung und Wissenschaft:Kurator,Leihanfrage abwickeln,mündlich Leihanfrage entgegennehmen,READ Ausstellungsobjekte (Coll),Ausstellungsobjekte (Coll),sich im System für Objekt-Abruf abmelden,Kunsthalle,System.ISystemZugangProvidedRole.abmelden(),READ Token: Token
48,Sammlung und Wissenschaft:Kurator,Leihanfrage abwickeln,mündlich Leihanfrage entgegennehmen,READ Ausstellungsobjekte (Coll),Ausstellungsobjekte (Coll),sich im System für Objekt-Abruf anmelden,Kunsthalle,System.ISystemZugangProvidedRole.anmelden(),1. READ cred: Credentials<br>2. WRITE Token<br>
49,Sammlung und Wissenschaft:Restaurator,Leihanfrage abwickeln,Ausstellungsobjekt auf Transportfähigkeit prüfen,READ Ausstellungsobjekte (Coll),Ausstellungsobjekte (Coll),Ausstellungsobjekt für Transport-Prüfung holen,Kunsthalle,System.ISystemAllgemeineZugriffeProvidedRole.gibAusstellungsobjekt(),1. READ token: Token<br>2. READ name: STRING<br>3. WRITE öffentlich sichtbares Ausstellungsobjekt<br>
49,Sammlung und Wissenschaft:Restaurator,Leihanfrage abwickeln,Ausstellungsobjekt auf Transportfähigkeit prüfen,READ Ausstellungsobjekte (Coll),Ausstellungsobjekte (Coll),sich im System für Transport-Prüfung abmelden,Kunsthalle,System.ISystemZugangProvidedRole.abmelden(),READ Token: Token
49,Sammlung und Wissenschaft:Restaurator,Leihanfrage abwickeln,Ausstellungsobjekt auf Transportfähigkeit prüfen,READ Ausstellungsobjekte (Coll),Ausstellungsobjekte (Coll),sich im System für Transport-Prüfung anmelden,Kunsthalle,System.ISystemZugangProvidedRole.anmelden(),1. READ cred: Credentials<br>2. WRITE Token<br>
50,Sammlung und Wissenschaft:Kurator,Leihanfrage abwickeln,Anfrage mündlich bestätigen,,,,,,
51,Vorstand:Direktor,Leihanfrage abwickeln,Leihanfrage entgegennehmen,WRITE Leihanfrage (Comp),Leihanfrage (Comp),Leihanfrage hinzufügen,Kunsthalle,System.ISystemLeihverkehrProvidedRole.fügeLeihanfrageHinzu(),1. READ token: Token<br>2. READ anfrage: Leihanfrage<br>
51,Vorstand:Direktor,Leihanfrage abwickeln,Leihanfrage entgegennehmen,WRITE Leihanfrage (Comp),Leihanfrage (Comp),sich im System für Leihanfragen-Hinzufügung abmelden,Kunsthalle,System.ISystemZugangProvidedRole.abmelden(),READ Token: Token
51,Vorstand:Direktor,Leihanfrage abwickeln,Leihanfrage entgegennehmen,WRITE Leihanfrage (Comp),Leihanfrage (Comp),sich im System für Leihanfragen-Hinzufügung anmelden,Kunsthalle,System.ISystemZugangProvidedRole.anmelden(),1. READ cred: Credentials<br>2. WRITE Token<br>
52,Ausschuss:Leihkommission,Leihanfrage abwickeln,über Leihanfrage entscheiden,READ Leihanfrage (Comp),Leihanfrage (Comp),,,,
53,Sammlung und Wissenschaft:Kurator,Leihanfrage abwickeln,Bestätigung schreiben,1. READ CRM-Eintrag (Comp)<br>2. WRITE Bestätigung Leihanfrage (Comp)<br>,1. CRM-Eintrag (Comp)<br>2. Bestätigung Leihanfrage (Comp)<br>,Bestätigung der Leihanfrage hinzufügen,Kunsthalle,System.ISystemLeihverkehrProvidedRole.fügeBestätigungLeihanfrageHinzu(),1. READ token: Token<br>2. READ bestätigung Leihanfrage: Bestätigung Leihanfrage<br>
53,Sammlung und Wissenschaft:Kurator,Leihanfrage abwickeln,Bestätigung schreiben,1. READ CRM-Eintrag (Comp)<br>2. WRITE Bestätigung Leihanfrage (Comp)<br>,1. CRM-Eintrag (Comp)<br>2. Bestätigung Leihanfrage (Comp)<br>,CRM-Eintrag für die Bestätigung holen,Kunsthalle,System.ISystemCRMProvidedRole.gibEintrag(),1. READ token: Token<br>2. READ name: STRING<br>3. WRITE CRM-Eintrag<br>
53,Sammlung und Wissenschaft:Kurator,Leihanfrage abwickeln,Bestätigung schreiben,1. READ CRM-Eintrag (Comp)<br>2. WRITE Bestätigung Leihanfrage (Comp)<br>,1. CRM-Eintrag (Comp)<br>2. Bestätigung Leihanfrage (Comp)<br>,sich im System für die Bestätigungs-Hinzufügung abmelden,Kunsthalle,System.ISystemZugangProvidedRole.abmelden(),READ Token: Token
53,Sammlung und Wissenschaft:Kurator,Leihanfrage abwickeln,Bestätigung schreiben,1. READ CRM-Eintrag (Comp)<br>2. WRITE Bestätigung Leihanfrage (Comp)<br>,1. CRM-Eintrag (Comp)<br>2. Bestätigung Leihanfrage (Comp)<br>,sich im System für die Bestätigungs-Hinzufügung anmelden,Kunsthalle,System.ISystemZugangProvidedRole.anmelden(),1. READ cred: Credentials<br>2. WRITE Token<br>
54,Vorstand:Direktor,Leihanfrage abwickeln,Bestätigung unterschreiben,READ/WRITE Bestätigung Leihanfrage,Bestätigung Leihanfrage (Comp),,,,
55,Vorstand:Direktor,Leihanfrage abwickeln,Bestätigung verschicken,READ Bestätigung Leihanfrage (Comp),Bestätigung Leihanfrage (Comp),,,,
56,Sammlung und Wissenschaft:Registrar,Leihanfrage abwickeln,Leihvertrag verhandeln,WRITE Leihvertrag (Comp),Leihvertrag (Comp),,,,
57,Sammlung und Wissenschaft:Kurator,Leihanfrage abwickeln,Leihvertrag prüfen,READ/WRITE Leihvertrag (Comp),Leihvertrag (Comp),,,,
58,Vorstand:Direktor,Leihanfrage abwickeln,Leihvertrag zustimmen,READ/WRITE Leihvertrag (Comp),Leihvertrag (Comp),,,,
59,Vorstand:Direktor,Leihanfrage abwickeln,Leihvertrag unterschreiben,READ/WRITE Leihvertrag (Comp),Leihvertrag (Comp),,,,
60,Sammlung und Wissenschaft:Kurator,Leihanfrage abwickeln,Ablehnung schreiben,1. READ CRM-Eintrag (Comp)<br>2. WRITE Ablehnung Leihanfrage (Comp)<br>,1. CRM-Eintrag (Comp)<br>2. Ablehnung Leihanfrage (Comp)<br>,Ablehnung der Leihanfrage hinzufügen,Kunsthalle,System.ISystemLeihverkehrProvidedRole.fügeAblehnungLeihanfrageHinzu(),1. READ token: Token<br>2. READ ablehnung: Ablehnung Leihanfrage<br>
60,Sammlung und Wissenschaft:Kurator,Leihanfrage abwickeln,Ablehnung schreiben,1. READ CRM-Eintrag (Comp)<br>2. WRITE Ablehnung Leihanfrage (Comp)<br>,1. CRM-Eintrag (Comp)<br>2. Ablehnung Leihanfrage (Comp)<br>,CRM-Eintrag für Ablehnung holen,Kunsthalle,System.ISystemCRMProvidedRole.gibEintrag(),1. READ token: Token<br>2. READ name: STRING<br>3. WRITE CRM-Eintrag<br>
60,Sammlung und Wissenschaft:Kurator,Leihanfrage abwickeln,Ablehnung schreiben,1. READ CRM-Eintrag (Comp)<br>2. WRITE Ablehnung Leihanfrage (Comp)<br>,1. CRM-Eintrag (Comp)<br>2. Ablehnung Leihanfrage (Comp)<br>,sich im System für die Ablehnungs-Hinzufügung abmelden,Kunsthalle,System.ISystemZugangProvidedRole.abmelden(),READ Token: Token
60,Sammlung und Wissenschaft:Kurator,Leihanfrage abwickeln,Ablehnung schreiben,1. READ CRM-Eintrag (Comp)<br>2. WRITE Ablehnung Leihanfrage (Comp)<br>,1. CRM-Eintrag (Comp)<br>2. Ablehnung Leihanfrage (Comp)<br>,sich im System für die Ablehnungs-Hinzufügung anmelden,Kunsthalle,System.ISystemZugangProvidedRole.anmelden(),1. READ cred: Credentials<br>2. WRITE Token<br>
61,Vorstand:Direktor,Leihanfrage abwickeln,Ablehnung unterschreiben,READ/WRITE Ablehnung Leihanfrage,Ablehnung Leihanfrage (Comp),,,,
62,Vorstand:Direktor,Leihanfrage abwickeln,Ablehnung verschicken,READ Ablehnung Leihanfrage (Comp),Ablehnung Leihanfrage (Comp),,,,
63,Sammlung und Wissenschaft:Registrar,eigenes Werk wird abgeholt,Termin ausmachen,,,,,,
64,Sammlung und Wissenschaft:Restaurator,eigenes Werk wird abgeholt,Termin bestätigen (Restaurator),,,,,,
65,Sammlung und Wissenschaft:Depotmeister,eigenes Werk wird abgeholt,Termin bestätigen (Depotmeister),,,,,,
66,Zentrale Dienste:Sicherheit,eigenes Werk wird abgeholt,Termin bestätigen (Sicherheit),,,,,,
67,Sammlung und Wissenschaft:Registrar,eigenes Werk wird abgeholt,Termin an Museum bestätigen (Registrar),READ CRM-Eintrag (Comp),CRM-Eintrag (Comp),CRM-Eintrag für Transportunternehmen holen,Kunsthalle,System.ISystemCRMProvidedRole.gibEintrag(),1. READ token: Token<br>2. READ name: STRING<br>3. WRITE CRM-Eintrag<br>
67,Sammlung und Wissenschaft:Registrar,eigenes Werk wird abgeholt,Termin an Museum bestätigen (Registrar),READ CRM-Eintrag (Comp),CRM-Eintrag (Comp),Termin für Abholung eintragen,Kunsthalle,System.ISystemLeihverkehrProvidedRole.fügeTransportauftragHinzu(),1. READ token: Token<br>2. READ auftrag: Transportauftrag<br>
67,Sammlung und Wissenschaft:Registrar,eigenes Werk wird abgeholt,Termin an Museum bestätigen (Registrar),READ CRM-Eintrag (Comp),CRM-Eintrag (Comp),sich im System für Terminbestätigung abmelden,Kunsthalle,System.ISystemZugangProvidedRole.abmelden(),READ Token: Token
67,Sammlung und Wissenschaft:Registrar,eigenes Werk wird abgeholt,Termin an Museum bestätigen (Registrar),READ CRM-Eintrag (Comp),CRM-Eintrag (Comp),sich im System für Terminbestätigung anmelden,Kunsthalle,System.ISystemZugangProvidedRole.anmelden(),1. READ cred: Credentials<br>2. WRITE Token<br>
68,Sammlung und Wissenschaft:Restaurator,eigenes Werk wird abgeholt,Werk vorbereiten,,,,,,
69,Zentrale Dienste:Sicherheit,eigenes Werk wird abgeholt,Raum entsichern,,,,,,
70,Sammlung und Wissenschaft:Restaurator,eigenes Werk wird abgeholt,Einpacken beaufsichtigen und protokollieren,WRITE Protokoll (Comp),Protokoll (Comp),Protokoll hinzufügen,Kunsthalle,System.ISystemLeihverkehrProvidedRole.fügeProtokollHinzu(),1. READ token: Token<br>2. READ protokoll: Protokoll<br>
70,Sammlung und Wissenschaft:Restaurator,eigenes Werk wird abgeholt,Einpacken beaufsichtigen und protokollieren,WRITE Protokoll (Comp),Protokoll (Comp),sich im System für die Protokoll-Hinzufügung abmelden,Kunsthalle,System.ISystemZugangProvidedRole.abmelden(),READ Token: Token
70,Sammlung und Wissenschaft:Restaurator,eigenes Werk wird abgeholt,Einpacken beaufsichtigen und protokollieren,WRITE Protokoll (Comp),Protokoll (Comp),sich im System für die Protokoll-Hinzufügung anmelden,Kunsthalle,System.ISystemZugangProvidedRole.anmelden(),1. READ cred: Credentials<br>2. WRITE Token<br>
71,Sammlung und Wissenschaft:Depotmeister,eigenes Werk wird abgeholt,Restaurierung beim Einpacken unterstützen,READ/WRITE Protokoll (Comp),Protokoll (Comp),Protokoll hinzufügen 2,Kunsthalle,System.ISystemLeihverkehrProvidedRole.fügeProtokollHinzu(),1. READ token: Token<br>2. READ protokoll: Protokoll<br>
71,Sammlung und Wissenschaft:Depotmeister,eigenes Werk wird abgeholt,Restaurierung beim Einpacken unterstützen,READ/WRITE Protokoll (Comp),Protokoll (Comp),sich im System für die Protokoll-Hinzufügung und Zustandsaktualisierung anmelden,Kunsthalle,System.ISystemZugangProvidedRole.anmelden(),1. READ cred: Credentials<br>2. WRITE Token<br>
72,Sammlung und Wissenschaft:Restaurator,eigenes Werk wird abgeholt,Verladen beaufsichtigen,,,,,,
73,Sammlung und Wissenschaft:Depotmeister,eigenes Werk wird abgeholt,Restaurierung beim Verladen unterstützen,,,,,,
74,Sammlung und Wissenschaft:Depotmeister,eigenes Werk wird abgeholt,verliehenen Zustand vermerken,WRITE Standortdaten (Coll),Standortdaten (Coll),Zustand aktualisieren,Kunsthalle,System.ISystemAllgemeineZugriffeProvidedRole.aktualisiereStandort(),1. READ token: Token<br>2. READ standort: Standort<br>
74,Sammlung und Wissenschaft:Depotmeister,eigenes Werk wird abgeholt,verliehenen Zustand vermerken,WRITE Standortdaten (Coll),Standortdaten (Coll),aktuellen Zustand holen,Kunsthalle,System.ISystemAllgemeineZugriffeProvidedRole.gibAusstellungsobjektMitStandort(),1. READ token: Token<br>2. READ name: STRING<br>3. WRITE AusstellungsobjektMitStandort<br>
74,Sammlung und Wissenschaft:Depotmeister,eigenes Werk wird abgeholt,verliehenen Zustand vermerken,WRITE Standortdaten (Coll),Standortdaten (Coll),sich im System für die Protokoll-Hinzufügung und Zustandsaktualisierung abmelden,Kunsthalle,System.ISystemZugangProvidedRole.abmelden(),READ Token: Token
75,Sammlung und Wissenschaft:Kurier,eigenes Werk wird abgeholt,Begleitung des Transports,,,,,,
