Id,IDBA,Role,Process,BusinessActivity,BusinessPermission,ISDataType,ISActivity,System,ServiceCall,ISPermission
79,42,Sammlung und Wissenschaft:Kurator,Leihverkehr für fremde Werke,fremde Werke ausleihen,READ/WRITE Ausstellungskonzept (Comp),Ausstellungskonzept (Comp),,,,
80,43,Sammlung und Wissenschaft:Kurator,Leihverkehr für fremde Werke,fremdes Werk wird angeliefert,,,,,,
81,44,Sammlung und Wissenschaft:Kurator,Leihverkehr für fremde Werke,fremdes Werk wird abgeholt,,,,,,
82,45,Sammlung und Wissenschaft:Kurator,Leihverkehr für eigene Werke,Leihanfrage abwickeln,,,,,,
83,46,Sammlung und Wissenschaft:Kurator,Leihverkehr für eigene Werke,eigenes Werk wird abgeholt,,,,,,
84,47,Sammlung und Wissenschaft:Kurator,Leihverkehr für eigene Werke,eigenes Werk wird zurückgebracht,,,,,,
85,48,Sammlung und Wissenschaft:Kurator,Leihanfrage abwickeln,mündlich Leihanfrage entgegennehmen,READ Ausstellungsobjekte (Coll),Ausstellungsobjekte (Coll),Ausstellungsobjekt holen,Kunsthalle,System.ISystemAllgemeineZugriffeProvidedRole.gibAusstellungsobjekt(),1. READ token: Token<br>2. READ name: STRING<br>3. WRITE öffentlich sichtbares Ausstellungsobjekt<br>
86,48,Sammlung und Wissenschaft:Kurator,Leihanfrage abwickeln,mündlich Leihanfrage entgegennehmen,READ Ausstellungsobjekte (Coll),Ausstellungsobjekte (Coll),sich im System für Objekt-Abruf abmelden,Kunsthalle,System.ISystemZugangProvidedRole.abmelden(),READ Token: Token
87,48,Sammlung und Wissenschaft:Kurator,Leihanfrage abwickeln,mündlich Leihanfrage entgegennehmen,READ Ausstellungsobjekte (Coll),Ausstellungsobjekte (Coll),sich im System für Objekt-Abruf anmelden,Kunsthalle,System.ISystemZugangProvidedRole.anmelden(),1. READ cred: Credentials<br>2. WRITE Token<br>
88,49,Sammlung und Wissenschaft:Restaurator,Leihanfrage abwickeln,Ausstellungsobjekt auf Transportfähigkeit prüfen,READ Ausstellungsobjekte (Coll),Ausstellungsobjekte (Coll),Ausstellungsobjekt für Transport-Prüfung holen,Kunsthalle,System.ISystemAllgemeineZugriffeProvidedRole.gibAusstellungsobjekt(),1. READ token: Token<br>2. READ name: STRING<br>3. WRITE öffentlich sichtbares Ausstellungsobjekt<br>
89,49,Sammlung und Wissenschaft:Restaurator,Leihanfrage abwickeln,Ausstellungsobjekt auf Transportfähigkeit prüfen,READ Ausstellungsobjekte (Coll),Ausstellungsobjekte (Coll),sich im System für Transport-Prüfung abmelden,Kunsthalle,System.ISystemZugangProvidedRole.abmelden(),READ Token: Token
90,49,Sammlung und Wissenschaft:Restaurator,Leihanfrage abwickeln,Ausstellungsobjekt auf Transportfähigkeit prüfen,READ Ausstellungsobjekte (Coll),Ausstellungsobjekte (Coll),sich im System für Transport-Prüfung anmelden,Kunsthalle,System.ISystemZugangProvidedRole.anmelden(),1. READ cred: Credentials<br>2. WRITE Token<br>
91,50,Sammlung und Wissenschaft:Kurator,Leihanfrage abwickeln,Anfrage mündlich bestätigen,,,,,,
92,51,Vorstand:Direktor,Leihanfrage abwickeln,Leihanfrage entgegennehmen,WRITE Leihanfrage (Comp),Leihanfrage (Comp),Leihanfrage hinzufügen,Kunsthalle,System.ISystemLeihverkehrProvidedRole.fügeLeihanfrageHinzu(),1. READ token: Token<br>2. READ anfrage: Leihanfrage<br>
93,51,Vorstand:Direktor,Leihanfrage abwickeln,Leihanfrage entgegennehmen,WRITE Leihanfrage (Comp),Leihanfrage (Comp),sich im System für Leihanfragen-Hinzufügung abmelden,Kunsthalle,System.ISystemZugangProvidedRole.abmelden(),READ Token: Token
94,51,Vorstand:Direktor,Leihanfrage abwickeln,Leihanfrage entgegennehmen,WRITE Leihanfrage (Comp),Leihanfrage (Comp),sich im System für Leihanfragen-Hinzufügung anmelden,Kunsthalle,System.ISystemZugangProvidedRole.anmelden(),1. READ cred: Credentials<br>2. WRITE Token<br>
95,52,Ausschuss:Leihkommission,Leihanfrage abwickeln,über Leihanfrage entscheiden,READ Leihanfrage (Comp),Leihanfrage (Comp),,,,
96,53,Sammlung und Wissenschaft:Kurator,Leihanfrage abwickeln,Bestätigung schreiben,1. READ CRM-Eintrag (Comp)<br>2. WRITE Bestätigung Leihanfrage (Comp)<br>,1. CRM-Eintrag (Comp)<br>2. Bestätigung Leihanfrage (Comp)<br>,Bestätigung der Leihanfrage hinzufügen,Kunsthalle,System.ISystemLeihverkehrProvidedRole.fügeBestätigungLeihanfrageHinzu(),1. READ token: Token<br>2. READ bestätigung Leihanfrage: Bestätigung Leihanfrage<br>
97,53,Sammlung und Wissenschaft:Kurator,Leihanfrage abwickeln,Bestätigung schreiben,1. READ CRM-Eintrag (Comp)<br>2. WRITE Bestätigung Leihanfrage (Comp)<br>,1. CRM-Eintrag (Comp)<br>2. Bestätigung Leihanfrage (Comp)<br>,CRM-Eintrag für die Bestätigung holen,Kunsthalle,System.ISystemCRMProvidedRole.gibEintrag(),1. READ token: Token<br>2. READ name: STRING<br>3. WRITE CRM-Eintrag<br>
98,53,Sammlung und Wissenschaft:Kurator,Leihanfrage abwickeln,Bestätigung schreiben,1. READ CRM-Eintrag (Comp)<br>2. WRITE Bestätigung Leihanfrage (Comp)<br>,1. CRM-Eintrag (Comp)<br>2. Bestätigung Leihanfrage (Comp)<br>,sich im System für die Bestätigungs-Hinzufügung abmelden,Kunsthalle,System.ISystemZugangProvidedRole.abmelden(),READ Token: Token
99,53,Sammlung und Wissenschaft:Kurator,Leihanfrage abwickeln,Bestätigung schreiben,1. READ CRM-Eintrag (Comp)<br>2. WRITE Bestätigung Leihanfrage (Comp)<br>,1. CRM-Eintrag (Comp)<br>2. Bestätigung Leihanfrage (Comp)<br>,sich im System für die Bestätigungs-Hinzufügung anmelden,Kunsthalle,System.ISystemZugangProvidedRole.anmelden(),1. READ cred: Credentials<br>2. WRITE Token<br>
100,54,Vorstand:Direktor,Leihanfrage abwickeln,Bestätigung unterschreiben,READ/WRITE Bestätigung Leihanfrage,Bestätigung Leihanfrage (Comp),,,,
101,55,Vorstand:Direktor,Leihanfrage abwickeln,Bestätigung verschicken,READ Bestätigung Leihanfrage (Comp),Bestätigung Leihanfrage (Comp),,,,
102,56,Sammlung und Wissenschaft:Registrar,Leihanfrage abwickeln,Leihvertrag verhandeln,WRITE Leihvertrag (Comp),Leihvertrag (Comp),Ausstellungsobjekt für Vertragsverhandlungen holen,Kunsthalle,System.ISystemAllgemeineZugriffeProvidedRole.gibAusstellungsobjekt(),1. READ token: Token<br>2. READ name: STRING<br>3. WRITE öffentlich sichtbares Ausstellungsobjekt<br>
103,56,Sammlung und Wissenschaft:Registrar,Leihanfrage abwickeln,Leihvertrag verhandeln,WRITE Leihvertrag (Comp),Leihvertrag (Comp),sich im System für Vertragsverhandlungen abmelden,Kunsthalle,System.ISystemZugangProvidedRole.abmelden(),READ Token: Token
104,56,Sammlung und Wissenschaft:Registrar,Leihanfrage abwickeln,Leihvertrag verhandeln,WRITE Leihvertrag (Comp),Leihvertrag (Comp),sich im System für Vertragsverhandlungen anmelden,Kunsthalle,System.ISystemZugangProvidedRole.anmelden(),1. READ cred: Credentials<br>2. WRITE Token<br>
105,57,Sammlung und Wissenschaft:Kurator,Leihanfrage abwickeln,Leihvertrag prüfen,READ/WRITE Leihvertrag (Comp),Leihvertrag (Comp),,,,
106,58,Vorstand:Direktor,Leihanfrage abwickeln,Leihvertrag zustimmen,READ/WRITE Leihvertrag (Comp),Leihvertrag (Comp),,,,
107,59,Vorstand:Direktor,Leihanfrage abwickeln,Leihvertrag unterschreiben,READ/WRITE Leihvertrag (Comp),Leihvertrag (Comp),Leihvertrag hinzufügen,Kunsthalle,System.ISystemLeihverkehrProvidedRole.fügeLeihvertragHinzu(),1. READ token: Token<br>2. READ Leihvertragsinformationen: STRING<br>3. READ Bestätigung Leihgesuch o. Leihanfrage: Allgemeine Leihanfrage<br>
108,59,Vorstand:Direktor,Leihanfrage abwickeln,Leihvertrag unterschreiben,READ/WRITE Leihvertrag (Comp),Leihvertrag (Comp),sich im System für die Vertrags-Hinzufügung abmelden,Kunsthalle,System.ISystemZugangProvidedRole.abmelden(),READ Token: Token
109,59,Vorstand:Direktor,Leihanfrage abwickeln,Leihvertrag unterschreiben,READ/WRITE Leihvertrag (Comp),Leihvertrag (Comp),sich im System für die Vertrags-Hinzufügung anmelden,Kunsthalle,System.ISystemZugangProvidedRole.anmelden(),1. READ cred: Credentials<br>2. WRITE Token<br>
110,60,Sammlung und Wissenschaft:Kurator,Leihanfrage abwickeln,Ablehnung schreiben,1. READ CRM-Eintrag (Comp)<br>2. WRITE Ablehnung Leihanfrage (Comp)<br>,1. CRM-Eintrag (Comp)<br>2. Ablehnung Leihanfrage (Comp)<br>,Ablehnung der Leihanfrage hinzufügen,Kunsthalle,System.ISystemLeihverkehrProvidedRole.fügeAblehnungLeihanfrageHinzu(),1. READ token: Token<br>2. READ ablehnung: Ablehnung Leihanfrage<br>
111,60,Sammlung und Wissenschaft:Kurator,Leihanfrage abwickeln,Ablehnung schreiben,1. READ CRM-Eintrag (Comp)<br>2. WRITE Ablehnung Leihanfrage (Comp)<br>,1. CRM-Eintrag (Comp)<br>2. Ablehnung Leihanfrage (Comp)<br>,CRM-Eintrag für Ablehnung holen,Kunsthalle,System.ISystemCRMProvidedRole.gibEintrag(),1. READ token: Token<br>2. READ name: STRING<br>3. WRITE CRM-Eintrag<br>
112,60,Sammlung und Wissenschaft:Kurator,Leihanfrage abwickeln,Ablehnung schreiben,1. READ CRM-Eintrag (Comp)<br>2. WRITE Ablehnung Leihanfrage (Comp)<br>,1. CRM-Eintrag (Comp)<br>2. Ablehnung Leihanfrage (Comp)<br>,sich im System für die Ablehnungs-Hinzufügung abmelden,Kunsthalle,System.ISystemZugangProvidedRole.abmelden(),READ Token: Token
113,60,Sammlung und Wissenschaft:Kurator,Leihanfrage abwickeln,Ablehnung schreiben,1. READ CRM-Eintrag (Comp)<br>2. WRITE Ablehnung Leihanfrage (Comp)<br>,1. CRM-Eintrag (Comp)<br>2. Ablehnung Leihanfrage (Comp)<br>,sich im System für die Ablehnungs-Hinzufügung anmelden,Kunsthalle,System.ISystemZugangProvidedRole.anmelden(),1. READ cred: Credentials<br>2. WRITE Token<br>
114,61,Vorstand:Direktor,Leihanfrage abwickeln,Ablehnung unterschreiben,READ/WRITE Ablehnung Leihanfrage,Ablehnung Leihanfrage (Comp),,,,
115,62,Vorstand:Direktor,Leihanfrage abwickeln,Ablehnung verschicken,READ Ablehnung Leihanfrage (Comp),Ablehnung Leihanfrage (Comp),,,,
116,63,Sammlung und Wissenschaft:Registrar,eigenes Werk wird abgeholt,Termin ausmachen,,,,,,
117,64,Sammlung und Wissenschaft:Restaurator,eigenes Werk wird abgeholt,Termin bestätigen (Restaurator),,,,,,
118,65,Sammlung und Wissenschaft:Depotmeister,eigenes Werk wird abgeholt,Termin bestätigen (Depotmeister),,,,,,
119,66,Zentrale Dienste:Sicherheit,eigenes Werk wird abgeholt,Termin bestätigen (Sicherheit),,,,,,
120,67,Sammlung und Wissenschaft:Registrar,eigenes Werk wird abgeholt,Termin an Museum bestätigen (Registrar),READ CRM-Eintrag (Comp),CRM-Eintrag (Comp),CRM-Eintrag für Transportunternehmen holen,Kunsthalle,System.ISystemCRMProvidedRole.gibEintrag(),1. READ token: Token<br>2. READ name: STRING<br>3. WRITE CRM-Eintrag<br>
121,67,Sammlung und Wissenschaft:Registrar,eigenes Werk wird abgeholt,Termin an Museum bestätigen (Registrar),READ CRM-Eintrag (Comp),CRM-Eintrag (Comp),Termin für Abholung eintragen,Kunsthalle,System.ISystemLeihverkehrProvidedRole.fügeTransportauftragHinzu(),1. READ token: Token<br>2. READ auftrag: Transportauftrag<br>
122,67,Sammlung und Wissenschaft:Registrar,eigenes Werk wird abgeholt,Termin an Museum bestätigen (Registrar),READ CRM-Eintrag (Comp),CRM-Eintrag (Comp),sich im System für Terminbestätigung abmelden,Kunsthalle,System.ISystemZugangProvidedRole.abmelden(),READ Token: Token
123,67,Sammlung und Wissenschaft:Registrar,eigenes Werk wird abgeholt,Termin an Museum bestätigen (Registrar),READ CRM-Eintrag (Comp),CRM-Eintrag (Comp),sich im System für Terminbestätigung anmelden,Kunsthalle,System.ISystemZugangProvidedRole.anmelden(),1. READ cred: Credentials<br>2. WRITE Token<br>
124,68,Sammlung und Wissenschaft:Restaurator,eigenes Werk wird abgeholt,Werk vorbereiten,,,,,,
125,69,Zentrale Dienste:Sicherheit,eigenes Werk wird abgeholt,Raum entsichern,,,,,,
126,70,Sammlung und Wissenschaft:Restaurator,eigenes Werk wird abgeholt,Einpacken beaufsichtigen und protokollieren,WRITE Protokoll (Comp),Protokoll (Comp),Protokoll hinzufügen,Kunsthalle,System.ISystemLeihverkehrProvidedRole.fügeProtokollHinzu(),1. READ token: Token<br>2. READ protokoll: Protokoll<br>
127,70,Sammlung und Wissenschaft:Restaurator,eigenes Werk wird abgeholt,Einpacken beaufsichtigen und protokollieren,WRITE Protokoll (Comp),Protokoll (Comp),sich im System für die Protokoll-Hinzufügung abmelden,Kunsthalle,System.ISystemZugangProvidedRole.abmelden(),READ Token: Token
128,70,Sammlung und Wissenschaft:Restaurator,eigenes Werk wird abgeholt,Einpacken beaufsichtigen und protokollieren,WRITE Protokoll (Comp),Protokoll (Comp),sich im System für die Protokoll-Hinzufügung anmelden,Kunsthalle,System.ISystemZugangProvidedRole.anmelden(),1. READ cred: Credentials<br>2. WRITE Token<br>
129,71,Sammlung und Wissenschaft:Depotmeister,eigenes Werk wird abgeholt,Restaurierung beim Einpacken unterstützen,READ/WRITE Protokoll (Comp),Protokoll (Comp),Protokoll hinzufügen 2,Kunsthalle,System.ISystemLeihverkehrProvidedRole.fügeProtokollHinzu(),1. READ token: Token<br>2. READ protokoll: Protokoll<br>
130,71,Sammlung und Wissenschaft:Depotmeister,eigenes Werk wird abgeholt,Restaurierung beim Einpacken unterstützen,READ/WRITE Protokoll (Comp),Protokoll (Comp),sich im System für die Protokoll-Hinzufügung und Zustandsaktualisierung anmelden,Kunsthalle,System.ISystemZugangProvidedRole.anmelden(),1. READ cred: Credentials<br>2. WRITE Token<br>
131,72,Sammlung und Wissenschaft:Restaurator,eigenes Werk wird abgeholt,Verladen beaufsichtigen,,,,,,
132,73,Sammlung und Wissenschaft:Depotmeister,eigenes Werk wird abgeholt,Restaurierung beim Verladen unterstützen,,,,,,
133,74,Sammlung und Wissenschaft:Depotmeister,eigenes Werk wird abgeholt,verliehenen Zustand vermerken,WRITE Standortdaten (Coll),Standortdaten (Coll),Zustand aktualisieren,Kunsthalle,System.ISystemAllgemeineZugriffeProvidedRole.aktualisiereStandort(),1. READ token: Token<br>2. READ standort: Standort<br>
134,74,Sammlung und Wissenschaft:Depotmeister,eigenes Werk wird abgeholt,verliehenen Zustand vermerken,WRITE Standortdaten (Coll),Standortdaten (Coll),aktuellen Zustand holen,Kunsthalle,System.ISystemAllgemeineZugriffeProvidedRole.gibAusstellungsobjektMitStandort(),1. READ token: Token<br>2. READ name: STRING<br>3. WRITE AusstellungsobjektMitStandort<br>
135,74,Sammlung und Wissenschaft:Depotmeister,eigenes Werk wird abgeholt,verliehenen Zustand vermerken,WRITE Standortdaten (Coll),Standortdaten (Coll),sich im System für die Protokoll-Hinzufügung und Zustandsaktualisierung abmelden,Kunsthalle,System.ISystemZugangProvidedRole.abmelden(),READ Token: Token
136,75,Sammlung und Wissenschaft:Kurier,eigenes Werk wird abgeholt,Begleitung des Transports,,,,,,
